title,price,description,date,location
Iphone XR 128GB,"₹ 23,000",Iphone XR 128GB white colour top condition with bill box charger miner line on display battery service plz dm serious buyers.,2023-10-14T10:42:26+0000,"Ushaganj, Indore, Madhya Pradesh, India"
OnePlus 7 mobile,"₹ 15,000",OnePlus 7 mobile 6/128 Good condition Scatch less Very very neet condition Not a single scratch Only mobile and charger  Don't waste my time (cheep offers avoid),2023-10-14T10:42:21+0000,"AS Rao Nagar, Hyderabad, Telangana, India"
Shabad Hardoi,"₹ 9,000",Shahbad Hardoi,2023-10-14T10:42:19+0000,"Gomti Nagar Extension Sector 7, Lucknow, Uttar Pradesh, India"
iPhone XR blue colour,"₹ 5,500",iPhone XR blue colour 128 GB phone condition is very good only water damage only phone and box 7.    6.   6.   6.     5.     7.    3.    6.     2.      6,2023-10-14T10:42:17+0000,"Khar East, Mumbai, Maharashtra, India"
Iphone also new models available box with also accsories available,"₹ 20,500",Amazing apple iPhones also refurbished new models available sell all at good condition phones with bill box also available Call me now,2023-10-14T10:42:16+0000,"Mangola Pura, Bharuch, Gujarat, India"
Samsung A33 5G,"₹ 21,000",I buy a new bike,2023-10-14T10:40:31+0000,"Baignabad, Bihar, Bihar, India"
OnePlus Nord 8|128,"₹ 15,000",Phone has no damage and in immaculate condition,2023-10-14T10:40:30+0000,"Uparkot, Aligarh, Uttar Pradesh, India"
Apple iPad Mini 1/16GB/WiFi/Silver Colour/Good Working/Bill&Warranty,"₹ 5,999",Apple iPad Mini 1/16GB/Only WiFi/Silver Colour/7.9 inch Screen Size/Good Condition/With Bill And Warranty,2023-10-14T10:40:30+0000,"Hosur Road, Bengaluru, Karnataka, India"
Bilkul ok Ha charge nal orginal bill box,"₹ 12,000",Screen good working bus back glass circle bna gya ha,2023-10-14T10:40:25+0000,"New Lal Bagh, Patiala, Punjab, India"
SAMSUNG GALAXY F42 5G GOOD CONDITION WITH BOX ORIGINAL CHARGER,"₹ 10,500",buy new phone,2023-10-14T10:40:25+0000,"Vijay Nagar, Kotkapura, Punjab, India"
Iphone 11 128 gb,"₹ 19,000",Need money iPhone 11 128Gb,2023-10-14T10:40:24+0000,"RT Nagar, Bengaluru, Karnataka, India"
6 month used charger,₹ 700,I phone charger Nice product fast charging,2023-10-14T10:40:22+0000,"Sector 7, Noida, Uttar Pradesh, India"
SE 2nd generation,"₹ 14,000",In good working condition,2023-10-14T10:40:16+0000,"Digboi Oil Town, Digboi, Assam, India"
Poco x3 pro 6 gb 128 gb,"₹ 10,599",Best condition,2023-10-14T10:40:14+0000,"Gajol, Rangabhita, West Bengal, India"
Sumsung Galaxy S23 FE 5g (8/256),"₹ 60,000","Sumsung Galaxy S23 FE 5g sealed box buy for 64,999 urjent sale",2023-10-14T10:40:13+0000,"Arumbakkam Ashoka Nagar, Chennai, Tamil Nadu, India"
Exchange or sell OnePlus Nord 5g 12+7gb 256gb,"₹ 22,500",Mint condition Brand new condition  Comes with Original Warp Charger and  OnePlus buds z white brand new   . Looking for Sell or exchange with equalend mobiles Lowerend have to pay extra . Important note  . Location omr Kelambakkam or Thiruporur only,2023-10-14T10:40:11+0000,"Chennai Central, Chennai, Tamil Nadu, India"
"11 Pro, 8GB RAM , 256 GB ROM","₹ 24,000",24000/-  Recently 10 days Mobil money urgent,2023-10-14T10:40:10+0000,"Venkanna  Hills, Hyderabad, Telangana, India"
get iphone 12  refurbished at genuine price in your budget,"₹ 16,000",get iphone 12  refurbished model  under warranty with good condition and good bettery health,2023-10-14T10:40:05+0000,"Moti Nagar, Losal, Rajasthan, India"
Exchange or sell OnePlus 10T 160w 16+12gb ram 256gb storage,"₹ 42,999",Brand new condition  No scratches no dents  With 4 months warranty left  Totally 28gb of ram 256gb storage  Nought for 56k.  Current price 50k  Looking for sell or exchange with equalend mobile. Lowerend have to pay extra. For higher end I'll pay . Location omr thiruporur or kelambakkam only,2023-10-14T10:40:05+0000,"Chennai Central, Chennai, Tamil Nadu, India"
Oppo (6/128),"₹ 7,999",Brand-oppo Mobile-4G Ram-6GB Storage-128GB Camera Best battery backup A++condition Colour-nevy blue   *My offer price :-7999  Visit our shop Amazing Trading Nagpur Ganeshpeth Behind NMC School Nagpur maharatha-440018,2023-10-14T10:40:03+0000,"Itwari, Nagpur, Maharashtra, India"
I phone 15 pro 256gb natural titanium,"₹ 1,35,000",Sealed box with 12 months warranty,2023-10-04T05:07:51+0000,"Kodambakkam, Chennai, Tamil Nadu, India"
Realme max7 5G,"₹ 15,500",Realme max7 with original bill and box,2023-09-28T15:52:12+0000,"K R Puram, Bengaluru, Karnataka, India"
"OnePlus 11R 16/256 only 1 month New price 44,999/-","₹ 43,500",OnePlus 11R 16gb ram 256gb storage. Not even a single scratch. Only one month old phone. Selling because I Need money urgent. Contact genuine buyer only. Purchase date 07 September 2023.,2023-10-05T14:14:23+0000,"Dharmatala, Kolkata, West Bengal, India"
OnePlus Nord ce3lite,"₹ 22,500","3months mobile Good condition Bill, charge,billbox Available",2023-10-14T10:40:01+0000,"Nallapadu, Guntur, Andhra Pradesh, India"
Exchange or sell iPhone 11 128gb BH 85%,"₹ 30,010",Brand new condition No scratches . No dents  Faceid truetone all are working  Comes with full box kit  . Looking for sell or exchange with equalend mobiles . Lowerend have to pay extra . Location omr thiruporur or kelambakkam only,2023-10-14T10:39:59+0000,"Chennai Central, Chennai, Tamil Nadu, India"
